"Sr. No.","hospitalname","Category","Health Care Provider Type","address First Line","state","district","subdristrict","pincode","telephone","totalnumofbeds","mobilenumber","website","googlemapcorridinate_lati","googlemapcorridinate_longi","facilities","ayush"
"266","CGHS Dispensary, Lodhi Road","Public/ Government","Dispensary","Block 4-1, 3, 5, 7, Lodhi Road","Delhi","Central Delhi","NA","NA","011 24611442","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"267","CGHS Dispensary, Minto Road","Public/ Government","Dispensary","New Minto RoadHostel, Block-I, MintoRoad Complex","Delhi","Central Delhi","NA","110002","011 23234625","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"268","CGHS Dispensary, North Avenue","Public/ Government","Dispensary","Govt. Building, NorthAvenue","Delhi","Central Delhi","NA","NA","011 23094420","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"269","CGHS Dispensary, Pandara Road","Public/ Government","Dispensary","D-II/365-367, PandaraRoad","Delhi","Central Delhi","NA","NA","011 23385040","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"270","CGHS Dispensary, Pararganj","Public/ Government","Dispensary","3 & 4, Chitra GuptaRoad","Delhi","Central Delhi","NA","NA","011 23587511","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"271","CGHS Dispensary, PresidentEstate","Public/ Government","Dispensary","CGHS DispensaryWing","Delhi","Central Delhi","NA","NA","011 23094777","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"272","CGHS Dispensary, South Avenue","Public/ Government","Dispensary","153-B, 155-B, M.P.Flats, South Avenue","Delhi","Central Delhi","NA","NA","011 23013490","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"273","CGHS Dispensary, TelegraphLane","Public/ Government","Dispensary","18-E, Telegraph Lane","Delhi","Central Delhi","NA","NA","011 23326601","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"274","CGHS Dispensary, Dr. Z.H.Road","Public/ Government","Dispensary","CGHS Building, Dr.Z.H. Road","Delhi","Central Delhi","NA","NA","011 23383724","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"275","CGHS Dispensary, Kali Bari","Public/ Government","Dispensary","CGHS Building, KaliBari","Delhi","Central Delhi","NA","NA","011 23743142","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"276","CGHS Dispensary, Pragati Vihar","Public/ Government","Dispensary","C.P.W.D. Complex,Pragati Vihar","Delhi","Central Delhi","NA","NA","011 24361522","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"277","CGHS Dispensary, Kali BariMarg","Public/ Government","Dispensary","NA","Delhi","Central Delhi","NA","NA","011 23363178","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"278","CGHS Dispensary, North Avenue","Public/ Government","Dispensary","4, North Avenue, M.P. Flats","Delhi","Central Delhi","NA","NA","011 23092794","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"279","CGHS Dispensary, Kali BariMarg","Public/ Government","Dispensary","CGHS Building, KaliBari Marg","Delhi","Central Delhi","NA","NA","011 23364574","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"280","CGHS Dispensary, South Avenue","Public/ Government","Dispensary","154-B, South Avenue,M.P. Flats","Delhi","Central Delhi","NA","NA","011 23017698","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"281","CGHS Dispensary, Darya Ganj","Public/ Government","Dispensary","NA","Delhi","Central Delhi","NA","NA","011 23273043","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"282","CGHS Dispensary, Naraina Vihar","Public/ Government","Dispensary","CGHS Building,Naraina Vihar","Delhi","New Delhi","NA","NA","011 25778775","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"283","CGHS Dispensary, South Avenue","Public/ Government","Dispensary","31, South Avenue, M.P.Flats","Delhi","Central Delhi","NA","NA","011 23015125","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"284","CGHS Dispensary, SarojiniNagar","Public/ Government","Dispensary","Y-344 & 346, SarojiniNagar","Delhi","South West Delhi","NA","NA","011 24673551","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"285","CGHS Dispensary, Shahdara","Public/ Government","Dispensary","CGHS Building, Mansrover Park","Delhi","Shahdara","NA","NA","011 22583766","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"286","CGHS Dispensary, SidhaDispensary","Public/ Government","Dispensary","CGHS Building, Sector -12, R.K. Puram","Delhi","Central Delhi","NA","NA","011 26175146,011 26175140","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","Siddha","Ayush/Siddha"
"287","CGHS Dispensary Sidha Unit","Public/ Government","Dispensary","Block No. 4-1,3,5,7,Lodhi Road","Delhi","South Delhi","NA","NA","011 24611442","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","Siddha","Ayush/Siddha"
"288","CGHS Dispensary, ChandniChowk","Public/ Government","Dispensary","CGHS Dispensary No. 8, NearMoti Cinema, ChandniChowk","Delhi","Central Delhi","NA","110006","011 23866892","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"289","CGHS Dispensary, Darya Ganj","Public/ Government","Dispensary","CGHS Dispensary No. 28,Behind Golcha Cinema Hall, Darya Ganj","Delhi","Central Delhi","NA","110002","011 23273043","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"290","CGHS Dispensary, DilshadColony","Public/ Government","Dispensary","CGHS Dispensary No. 87, E-13 & 14, ExpressMarket, Dilshad Colony","Delhi","Shahdara","NA","NA","011 22352200","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"291","CGHS Dispensary, Ghaziabad","Public/ Government","Dispensary","CGHS Dispensary No. 68,Kamla Nehru Nagar","Uttar Pradesh","Ghaziabad","NA","NA","0120 2789969","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"292","CGHS Dispensary, Krishana Nagar","Public/ Government","Dispensary","CGHS Dispensary G.K.G. No.56, H.No. A-1, Krishna Nagar","Delhi","East Delhi","NA","110051","011 22512866","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"293","CGHS Dispensary, Kingsway Camp","Public/ Government","Dispensary","CGHS Disp, KWC No. 60, New Police Line, Kingsway Camp, Delhi","Delhi","North Delhi","NA","NA","011 27459411","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"294","CGHS Dispensary, Laxmi Nagar","Public/ Government","Dispensary","CGHS Dispensary No. 67, Laxmi Nagar, Main Vikas Marg, Delhi","Delhi","East Delhi","NA","110092","011 22543108","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"295","CGHS Dispensary, Mayur Vihar","Public/ Government","Dispensary","CGHS Dispensary No. 77, 264, A, Mayur Vihar, Pocket-I, Phase-I, Delhi","Delhi","East Delhi","NA","NA","011 2751321","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"296","CGHS Dispensary, Noida","Public/ Government","Dispensary","Noida","Uttar Pradesh","Noida","NA","NA","0120 2574254","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"297","CGHS Dispensary, Pul Bangash","Public/ Government","Dispensary","CGHS Dispensary No. 22,Hathikhana, PulBangash, Near Azad Market","Delhi","Central Delhi","NA","110007","011 23614603","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"298","CGHS Dispensary, Rajpur Road","Public/ Government","Dispensary","CGHS Dispensary No. 59, 5, Rajpur Road, Old Police Line","Delhi","North Delhi","NA","110054","011 23973646","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"299","CGHS Dispensary, Shahdara","Public/ Government","Dispensary","CGHS Dispensary No. 49, Mansarovar Park, Shahdara","Delhi","Shahdara","NA","110032","011 22583766","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"300","CGHS Dispensary, Shakti Nagar","Public/ Government","Dispensary","CGHS Dispensary No. 6,23/1, Shakti Nagar","Delhi","North Delhi","NA","110007","011 27114162","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"301","CGHS Dispensary, Lancer Road","Public/ Government","Dispensary","CGHS General Hospital No. 7, Lancer Road","Delhi","North Delhi","NA","NA","011 23813808","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"302","CGHS Dispensary, Ghaziabad","Public/ Government","Dispensary","CGHS Dispensary Vivek Vihar No. 79, D-12, Chander Nagar","Uttar Pradesh","Ghaziabad","NA","NA","0120 2624279","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"303","CGHS Dispensary, Bhajan Pura","Public/ Government","Dispensary","CGHS Dispensary No. 84, C-67, Gali NO. 8, Bhajan Pura","Delhi","East Delhi","NA","NA","011 22565516","NA","09868519393","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"304","CGHS Dispensary, Ashok Vihar","Public/ Government","Dispensary","I-97, Ashok Vihar, Phase-I","Delhi","North Delhi","NA","110052","011 27242028","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"305","CGHS Dispensary, Delhi Cantt","Public/ Government","Dispensary","CGHS Dispensary Delhi Cantt. Near Sadar Bazar","Delhi","North Delhi","NA","NA","011 25692914","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"306","CGHS Dispensary, Dev Nagar","Public/ Government","Dispensary","Block No. 12, Mother Dairy Both","Delhi","Central Delhi","NA","NA","011 25860275","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"307","CGHS Dispensary, Hari Nagar","Public/ Government","Dispensary","CGHS Hari Nagar, Near DTC Depot","Delhi","West Delhi","NA","NA","011 28125518","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"308","CGHS Dispensary, Inder Puri","Public/ Government","Dispensary","Flat No. 647, 648, Krishi Kunj","Delhi","North Delhi","NA","NA","011 25836573","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"309","CGHS Dispensary, Janak Puri- 1","Public/ Government","Dispensary","C-4, CGHS Dispensary, Janak Puri-I","Delhi","South West Delhi","NA","NA","011 25551434","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"310","CGHS Dispensary, Janak Puri-2","Public/ Government","Dispensary","B-1/20, Janak Puri","Delhi","South West Delhi","NA","NA","011 25593558","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"311","CGHS Dispensary, Karol Bagh","Public/ Government","Dispensary","883, East Park Road, Karol Bagh","Delhi","Central Delhi","NA","NA","011 23619345","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"312","CGHS Dispensary, Naraina Vihar","Public/ Government","Dispensary","C-Block Near Community Centre, Naraina Vihar","Delhi","South West Delhi","NA","NA","011 25778775","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"313","CGHS Dispensary, New Rajinder Nagar","Public/ Government","Dispensary","CGHS Dispensary Building, New Rajinder Nagar","Delhi","Central Delhi","NA","NA","011 25742850","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"314","CGHS Dispensary, Nangal Raya","Public/ Government","Dispensary","CGHS Dispensary Nangal Raya D Block, Janak Puri","Delhi","South West Delhi","NA","NA","011 28521863","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"315","CGHS Dispensary,East Patel Nagar","Public/ Government","Dispensary","11/14, East Patel Nagar","Delhi","West Delhi","NA","NA","011 2583326","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"316","CGHS Dispensary, West Patel Nagar","Public/ Government","Dispensary","11/26, West Patel Nagar","Delhi","West Delhi","NA","NA","011 25882551","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"317","CGHS Dispensary, Pusa Road","Public/ Government","Dispensary","23, Pusa Road","Delhi","Central Delhi","NA","NA","011 25768071","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"318","CGHS Dispensary, Palam Colony","Public/ Government","Dispensary","CGHS DispensaryPalam Colony, NearSubzi Mandi, Mangla Puri","Delhi","South West Delhi","NA","NA","011 25035839","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"319","CGHS Dispensary, Pitam Pura","Public/ Government","Dispensary","Income Tax Colony","Delhi","North West Delhi","NA","NA","011 27344481","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"320","CGHS Dispensary, Paschim Vihar","Public/ Government","Dispensary","Qtr. No. –A1, A2, A8, Pkt-3, Paschim Vihar","Delhi","West Delhi","NA","NA","011 25268410","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"321","CGHS Dispensary, Rajouri Garden","Public/ Government","Dispensary","CGHS Dispensary Hari Nagar, Near DTC Depot, Hari Nagar","Delhi","West Delhi","NA","NA","011 25493955","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"322","CGHS Dispensary, Rohini","Public/ Government","Dispensary","CGHS Dispensary Nahar Pur, Sec.-7","Delhi","North West Delhi","NA","NA","011 27040169","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"323","CGHS Dispensary, Sunder Vihar","Public/ Government","Dispensary","I/6, Sunder Vihar","Delhi","West Delhi","NA","110057","011 25264239","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"324","CGHS Dispensary, Tilak Nagar","Public/ Government","Dispensary","CGHS Dispensary Tilak Nagar, Near Subzi Mandi","Delhi","West Delhi","NA","NA","011 25998900","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"325","CGHS Dispensary, Tri Nagar","Public/ Government","Dispensary","Building No. 564, Gali No. 37, Onkar Nagar, Tri Nagar","Delhi","North West Delhi","NA","NA","011 27385025","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"326","CGHS Dispensary, Andrews Gang","Public/ Government","Dispensary","D-2, 65 & 66, Andrews Ganj","Delhi","South Delhi","NA","NA","011 26257628","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"327","CGHS Dispensary, Pushp Vihar","Public/ Government","Dispensary","NA","Delhi","South Delhi","NA","NA","011 29593193","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"328","CGHS Dispensary, Hauz Khas","Public/ Government","Dispensary","CGHS Dispensary Building, SDA","Delhi","South Delhi","NA","NA","011 26507894","NA","09811979260","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"329","CGHS Dispensary, Jangpura","Public/ Government","Dispensary","Q.No.46, 48, 50, 52, 56, Block No. 8, Jangpura","Delhi","South Delhi","NA","NA","011 24312213","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"330","CGHS Dispensary, Kalkaji – I","Public/ Government","Dispensary","CGHS Maternity Centre & Dispensary","Delhi","South Delhi","NA","NA","011 26430857","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"331","CGHS Dispensary, Kalkaji-II","Public/ Government","Dispensary","Qr. LIG DDA, Flat 38-B, 42-43A, 745A, Kalkaji","Delhi","South Delhi","NA","NA","011 26028746","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"332","CGHS Dispensary, Kasturba Nagar-I","Public/ Government","Dispensary","CGHS Polyclinic, Kasturba Nagar","Delhi","South Delhi","NA","NA","011 26622867","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"333","CGHS Dispensary, Kasturba Nagar-II","Public/ Government","Dispensary","R. 525,526,529, 530, 533 Kasturba Nagar","Delhi","South Delhi","NA","NA","011 24327736","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"334","CGHS Dispensary, Kidwai Nagar","Public/ Government","Dispensary","CGHS Own Building, 61-63,Kidwai Nagar","Delhi","South West Delhi","NA","NA","011 24624546","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"335","CGHS Dispensary, Laxmibai Nagar","Public/ Government","Dispensary","CGHS Dispensary Building, NearNavyug School, Laxmibai Nagar","Delhi","South West Delhi","NA","NA","011 26874643","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"336","CGHS Dispensary, Lajpat Nagar","Public/ Government","Dispensary","CGHS Dispensary Building, Lajpat Nagar Market","Delhi","South Delhi","NA","NA","011 29816439","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"337","CGHS Dispensary, Moti Bagh","Public/ Government","Dispensary","CGHS own Building near Begum Zaidi Market, Moti Bagh","Delhi","South West Delhi","NA","NA","011 24620333","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"338","CGHS Dispensary, Munirka","Public/ Government","Dispensary","DDA Flat, JNU Campus, Munirka","Delhi","South West Delhi","NA","NA","011 26107983","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"339","CGHS Dispensary, M.B. Road","Public/ Government","Dispensary","CGHS own Building, Sector – 1, M.B. Road","Delhi","South Delhi","NA","NA","011 29564988","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"340","CGHS Dispensary, Malviya Nagar","Public/ Government","Dispensary","Senior Secondary School, Malviya Nagar","Delhi","South Delhi","NA","NA","011 26671494","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"341","CGHS Dispensary, Netaji Nagar","Public/ Government","Dispensary","CGHS Dispensary Building, Netaji Nagar","Delhi","South West Delhi","NA","NA","011 24670222","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"342","CGHS Dispensary, Nauroji Nagar","Public/ Government","Dispensary","77, 79, 81, 83-E, Nauroji Nagar","Delhi","South West Delhi","NA","NA","011 26106127","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"343","CGHS Dispensary, Nanakpura","Public/ Government","Dispensary","CGHS Dispensary Building,Nanakpura","Delhi","South West Delhi","NA","NA","011 24670444","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"344","CGHS Dispensary, R.K. Puram-I","Public/ Government","Dispensary","Q.No. 817-818, Sector – IV, R.K. Puram","Delhi","South West Delhi","NA","NA","011 26175132","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"345","CGHS Dispensary, R.K. Puram-II","Public/ Government","Dispensary","CGHS Dispensary, Building, R.K. Puram, Sector – II","Delhi","South West Delhi","NA","NA","011 26175323","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"346","CGHS Dispensary, R.K. Puram-III","Public/ Government","Dispensary","CGHS Dispensary Building, R.K. Puram, Sector – VI","Delhi","South West Delhi","NA","NA","011 26175490","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"347","CGHS Dispensary, R.K. Puram-IV","Public/ Government","Dispensary","CGHS Dispensary Building, Sector - VIII, R.K. Puram","Delhi","South West Delhi","NA","NA","011 26173988","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"348","CGHS Dispensary, R.K. Puram-V","Public/ Government","Dispensary","Qr. 810, 818 – 825, Sector – XII, R.K. Puram","Delhi","South West Delhi","NA","NA","011 26170472","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"349","CGHS Dispensary, R.K. Puram-VI","Public/ Government","Dispensary","Qr. No. 833,837,839, Sector –13, R.K. Puram, Qr. No. 817","Delhi","South West Delhi","NA","NA","011 26173911","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"350","CGHS Dispensary, Sarojini Nagar-I","Public/ Government","Dispensary","Y-342-346, Sarojini Nagar","Delhi","South West Delhi","NA","NA","011 24170555","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"351","CGHS Dispensary, Sarojini Nagar-II","Public/ Government","Dispensary","I – 165, 67, 69, 171, Sarojini Nagar","Delhi","South West Delhi","NA","NA","011 24670666","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"352","CGHS Dispensary, Sarojini NagarMarket","Public/ Government","Dispensary","G – 150, 152, 154, 156, Sarojini Nagar","Delhi","South West Delhi","NA","NA","011 24670777","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"353","CGHS Dispensary, Sadiq. Nagar","Public/ Government","Dispensary","CGHS Dispensary, Near G.K. – I","Delhi","South Delhi","NA","NA","011 26255516","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"354","CGHS Dispensary, Sri Niwas Puri","Public/ Government","Dispensary","CGHS Maternity Centre / DispensaryBuilding, Srinivaspuri","Delhi","South Delhi","NA","NA","011 26910251","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"355","CGHS Dispensary, Faridabad","Public/ Government","Dispensary","NTT, Sector – IV","Uttar Pradesh","Faridabad","NA","NA","0129 241719","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"356","CGHS Dispensary, Gurgaon","Public/ Government","Dispensary","482/16, Civil Lines","Haryana","Gurgaon","NA","NA","0124 2320516","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"357","CGHS Dispensary, CBI Colony","Public/ Government","Dispensary","NA","Delhi","South Delhi","NA","NA","NA","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"358","CGHS Dispensary, M&G. Hospital,R.K. Puram","Public/ Government","Dispensary","RK Puram, Sector-V","Delhi","South West Delhi","NA","NA","011 2617490","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"359","CGHS Dispensary No. 1","Public/ Government","Dispensary","CGHS Dispensary No. 1, Kashi ViswanathMahadev Trust Building, Out side Shahpur Gate, Shahpur","Gujarat","Ahmedabad","NA","NA","079 25603848","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"360","CGHS Dispensary No. 2","Public/ Government","Dispensary","CGHS Dispensary No. 2, Govt. F. Colony,Block No. 34/284, 285, ShahalamTolnaka, Shaha Alam","Gujarat","Ahmedabad","NA","NA","079 25393262","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"361","CGHS Dispensary No. 3","Public/ Government","Dispensary","CGHS Dispensary No. 3, 1, Jeevan PrakashSociety, Darpan Six Roads, Nr. St. Xaviers School Road, Navrangpura","Gujarat","Ahmedabad","NA","380014","079 26430021","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"362","CGHS Dispensary No. 4","Public/ Government","Dispensary","CGHS Dispensary No. 4, Qtr. No. M/49/289, 290, Pragatinagar, Naranpura","Gujarat","Ahmedabad","NA","NA","079 27478393","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"363","CGHS Dispensary No. 5","Public/ Government","Dispensary","CGHS Dispensary No. 5, A.G. Staff Qtrs., BlockNo. 68/1615, 1616, Meghaninagar","Gujarat","Ahmedabad","NA","NA","079 22680487","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"364","Polyclinic","Public/ Government","Poly Clinic","Polyclinic, 2nd Floor, SangamPlace, Civil Lines","Uttar Pradesh","Allahabad","NA","NA","0532 2560065","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"365","Dispensary No. 1","Public/ Government","Dispensary","Dispensary No. 1, 41, I.L.N. Road","Uttar Pradesh","Allahabad","NA","NA","0532 2468188","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"366","Dispensary No. 2","Public/ Government","Dispensary","Dispensary No. 2, 4/6 Drumond Road","Uttar Pradesh","Allahabad","NA","NA","0532 2624435","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"367","Dispensary No. 3","Public/ Government","Dispensary","Dispensary No. 3, 113C-1131A,Kalyani Devi","Uttar Pradesh","Allahabad","NA","NA","0532 2651530","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"368","Dispensary No. 4","Public/ Government","Dispensary","Dispensary No. 4, 9 Bank Road","Uttar Pradesh","Allahabad","NA","NA","0532 2642457","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"369","Dispensary No. 5","Public/ Government","Dispensary","Dispensary No. 5, Type-II, 2, 7 & 8Kendranchal, Dboomnganj","Uttar Pradesh","Allahabad","NA","NA","0532 2232562","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"370","Dispensary 6","Public/ Government","Dispensary","Dispensary 6, 646, 38 Leader Road","Uttar Pradesh","Allahabad","NA","NA","0532 2403822","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
